name,occupation,summary,birthday,deathday
Lee Aaker,Actor,The Adventures of Rin Tin Tin,25-Sep-1943,-
Aaliyah,Singer,"R&B singer, died in plane crash",16-Jan-1979,25-Aug-2001
Alvar Aalto,Architect,"Finnish modernist architect, furniture designer",03-Feb-1898,11-May-1976
Willie Aames,Actor,Tommy on Eight is Enough,15-Jul-1960,-
Kjetil André Aamodt,Skier,"Alpine skier, 8 Olympic medals",02-Sep-1971,-
Fred G. Aandahl,Politician,"Governor of North Dakota, 1945-50",09-Apr-1897,07-Apr-1966
Caroline Aaron,Actor,"Character actress, 1980s to present",07-Aug-1952,-
Hank Aaron,Baseball,Hit 755 home runs over his career,05-Feb-1934,-
Tommy Aaron,Golf,"Winner, 1973 Masters Tournament",22-Feb-1937,-
Sani Abacha,Head of State,"Dictator of Nigeria, 1993-98",20-Sep-1943,08-Jun-1998
Frank Abagnale,Criminal,Catch Me If You Can,27-Apr-1948,-
Diego Abatantuono,Actor,Mediterraneo,20-May-1955,-
Claudio Abbado,Conductor,"Conductor of La Scala, 1968-86",26-Jun-1933,-
Nicola Abbagnano,Philosopher,Italian existentialist,15-Jul-1901,09-Sep-1990
Abu Abbas,Terrorist,Masterminded the Achille Lauro hijacking,10-Dec-1948,09-Mar-2004
Ahmad Abbas,Novelist,The Last Page,07-Jun-1914,01-Jun-1987
Ferhat Abbas,Head of State,"President of Algeria, 1962-63",24-Oct-1899,23-Dec-1985
Cleveland Abbe,Physicist,America's first weatherman,03-Dec-1838,28-Oct-1916
Leon Abbett,Politician,Twice Governor of New Jersey,08-Oct-1836,04-Dec-1894
Edward Abbey,Author,Desert Solitaire,29-Jan-1927,14-Mar-1989
Edwin Abbey,Painter,American artist in London,01-Apr-1852,01-Aug-1911
Lynn Abbey,Author,Thieves World,1948,-
Watkins M. Abbitt,Politician,"Congressman from Virginia, 1948-73",21-May-1908,13-Jul-1998
Charles Greeley Abbot,Astronomer,Solar energy,31-May-1872,17-Dec-1973
Bud Abbott,Actor,Half of Abbott and Costello,02-Oct-1895,24-Apr-1974
Edwin A. Abbott,Author,Flatland,20-Dec-1838,12-Oct-1926
